"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EG_WEB_SHAPE_LABEL_EN","EG_WEB_SHAPE_LABEL_FR","VOL_LIT","VOL_CUB","TYPE_LABEL_EN","TYPE_LABEL_FR","SIZE_CATEGORY","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","HR24_FREEZE_KG"
13155600,"253.21742*","Kenmore",362,"Upright","Verticaux",491,17.34,"08","08",6,"Manual","Non automatique",21.21
13232957,"FFFC18M4RW*","Frigidaire",331,"Chest","Coffre",496,17.51,"10","10",7,"-","-",13.61
13455157,"FCM16DJ****","GE",306,"Chest","Coffre",620.705,15.58,"10","10",6,"-","-",15.37
13455158,"FCM22DJ****","GE",383,"Chest","Coffre",620.705,21.57,"10","10",9,"-","-",13.41
14084543,"WHS-185C1WSB","Arctic King",218,"Chest","Coffre",142,5,"18","18",0,"-","-",11.3
14105574,"CFFH17F1RW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
14105576,"URBD99DW","Midea",193,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5.1
14105577,"URBD142D","Midea",218,"Chest","Coffre",142,5,"18","18",0,"-","-",11.3
14105578,"URBD198D","Midea",250,"Chest","Coffre",199,7,"18","18",1,"-","-",9.6
14105579,"URBD295D","Midea",238,"Chest","Coffre",288,10.2,"10","10",3,"-","-",12.2
14398441,"FCM7CJ****","GE",250,"Chest","Coffre",198.78,7.02,"18","18",1,"-","-",9.5
