"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
16304488,"YWED4616F**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
16304489,"YWED85HEF**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
16304490,"YWED8540F**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
16304944,"HLTD400BCW","Haier",942,1.4,"Standard","Ordinaire","240 V","240 V",186,"Auto-temp and timed","Automatique de température et à minuterie"
16596914,"GFD4***M****","GE",902,1.46,"Standard","Ordinaire","240 V","240 V",212,"auto moisture","Automatique de l'humidité"
16604922,"VD24001W","Beko",379,1.4,"Compact","Compacte","240 V","240 V",102,"auto moisture","Automatique de l'humidité"
16682049,"C6163*61*","Kenmore",945,1.4,"Standard","Ordinaire","240 V","240 V",260.45,"auto moisture","Automatique de l'humidité"
16682050,"C6813*41*","Kenmore",945,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
16682051,"C6913*41*","Kenmore",945,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
16683404,"DLE3075*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
16683405,"6155#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
16784464,"GTD41E******","GE",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
16784465,"MTX20E*****","Moffat",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
16784466,"GTX22E*****","GE",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
